Handle,Title,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,SKU,HS Code,COO,9783 South 600 West,Main Warehouse Receiving,Fashion Place,The Shops at South Towne,University Place,City Creek,Station Park,Newgate Mall,Southgate Mall,Grand Teton Mall,Magic Valley Mall,Red Cliffs,Damages,Mountain View Village,Meridian,SanTan Village,Warehouse Sale,Logan
millie-reverse-seam-top-in-black,Millie Reverse Seam Top in Black,Size,L,Color,Black,,,10641382,,,30,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
millie-reverse-seam-top,Millie Reverse Seam Top in Blue,Size,XS,Color,Blue,,,10641384,,,17,3,1,2,3,1,3,2,2,2,2,1,0,2,3,1,0,3
millie-reverse-seam-top,Millie Reverse Seam Top in Blue,Size,S,Color,Blue,,,10641385,,,23,9,0,1,1,0,3,1,2,1,2,1,0,3,2,2,0,2
millie-reverse-seam-top,Millie Reverse Seam Top in Blue,Size,M,Color,Blue,,,10641386,,,25,6,2,1,0,1,3,2,1,1,1,1,0,5,0,0,0,1
gen-collared-top,Gen Collared Top in Grey,Size,XS,Color,Grey,,,10643613,,,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gen-collared-top,Gen Collared Top in Grey,Size,S,Color,Grey,,,10643614,,,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gen-collared-top,Gen Collared Top in Grey,Size,M,Color,Grey,,,10643615,,,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gen-collared-top,Gen Collared Top in Grey,Size,L,Color,Grey,,,10643616,,,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gen-collared-top-in-rust,Gen Collared Top in Rust,Size,XS,Color,Rust,,,10643618,,,17,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gen-collared-top-in-rust,Gen Collared Top in Rust,Size,S,Color,Rust,,,10643619,,,21,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
gen-collared-top-in-rust,Gen Collared Top in Rust,Size,M,Color,Rust,,,10643620,,,6,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
gen-collared-top-in-rust,Gen Collared Top in Rust,Size,L,Color,Rust,,,10643621,,,8,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
apollo-knit-tank-top-in-red,Apollo Knit Tank Top in Red,Size,XS,Color,Red,,,10644097,,,20,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0
apollo-knit-tank-top-in-red,Apollo Knit Tank Top in Red,Size,S,Color,Red,,,10644098,,,48,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,1
apollo-knit-tank-top-in-red,Apollo Knit Tank Top in Red,Size,M,Color,Red,,,10644099,,,19,0,0,0,0,0,0,0,2,1,0,0,0,2,0,0,0,0
apollo-knit-tank-top-in-red,Apollo Knit Tank Top in Red,Size,L,Color,Red,,,10644100,,,15,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
apollo-knit-tank-top-in-yellow,Apollo Knit Tank Top in Yellow,Size,XS,Color,Yellow,,,10644102,,,25,0,0,2,0,1,1,0,0,0,2,0,0,1,0,0,0,0
